N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
40,100,30,0.3,0.3,10,20,50,143.306740115,4143.226028625766,2024-09-19 11:01:51.418065
10,10,5,0.3,0.3,5,20,50,0.6185685810000001,1352.6131343819707,2024-09-19 12:44:14.104478
10,30,5,0.3,0.3,5,20,50,1.7054671160000003,1188.2713676154112,2024-09-19 12:44:18.297825
10,10,10,0.3,0.3,5,20,50,0.6350588560000001,1248.4800000638195,2024-09-19 12:44:20.823859
10,5,10,0.3,0.3,5,20,50,0.4134077890000003,1311.4421938001083,2024-09-19 12:44:17.578095
10,30,10,0.3,0.3,5,20,50,1.6565513389999997,1128.8712978227195,2024-09-19 12:44:24.845542
10,5,20,0.3,0.3,5,20,50,0.3733346850000001,1317.8852480494274,2024-09-19 12:44:24.069390
10,10,20,0.3,0.3,5,20,50,0.6240899379999996,1204.9549978254613,2024-09-19 12:44:27.085560
10,30,20,0.3,0.3,5,20,50,1.7380348869999998,1161.4200031836567,2024-09-19 12:44:31.223688
10,5,30,0.3,0.3,5,20,50,0.4197461370000002,1249.4215285415735,2024-09-19 12:44:30.824602
10,10,30,0.3,0.3,5,20,50,0.583069455,1264.9307874546016,2024-09-19 12:44:34.376481
10,30,30,0.3,0.3,5,20,50,1.671763539,1223.946318973131,2024-09-19 12:44:38.767454
10,5,5,0.3,0.3,10,20,50,0.37300889000000037,1389.5471048085078,2024-09-19 12:44:38.002265
10,10,5,0.3,0.3,10,20,50,0.6105984080000002,1379.869612400597,2024-09-19 12:44:40.761468
10,30,5,0.3,0.3,10,20,50,1.617525627,1099.4415093726006,2024-09-19 12:44:44.710694
10,5,10,0.3,0.3,10,20,50,0.39377610200000035,1311.4421938001083,2024-09-19 12:44:44.601260
10,10,10,0.3,0.3,10,20,50,0.5999800570000002,1272.0591043957552,2024-09-19 12:44:47.538360
10,30,10,0.3,0.3,10,20,50,1.6580319699999997,1121.7367097555884,2024-09-19 12:44:51.636891
10,5,20,0.3,0.3,10,20,50,0.3857146109999998,1237.034447488709,2024-09-19 12:44:50.600862
10,10,20,0.3,0.3,10,20,50,0.64575161,1168.0758239427266,2024-09-19 12:44:53.479622
10,30,20,0.3,0.3,10,20,50,1.5354531409999999,1233.0818241385086,2024-09-19 12:44:58.479897
10,5,30,0.3,0.3,10,20,50,0.3536126230000003,1372.2053635041725,2024-09-19 12:44:57.158740
10,10,30,0.3,0.3,10,20,50,0.597714807,1265.3221053269774,2024-09-19 12:45:00.007490
10,30,30,0.3,0.3,10,20,50,1.7117751339999998,1249.8703599791793,2024-09-19 12:45:03.918626
10,5,5,0.3,0.3,20,20,50,0.3286229559999998,1315.5721065901325,2024-09-19 12:45:04.780137
10,10,5,0.3,0.3,20,20,50,0.656275342,1173.8694050593253,2024-09-19 12:45:06.653251
